Cage,Mouse_#,Genotype,Sex,DOB,Age_in_Weeks,Ear_Marking,Treatment,FecalWeight,Timepoint,DateOfCollection,DateofGavage,ExpDay,Age_at_collection,TubeLabel,Date_Extracted,DNA_ng/uL,Plate_Well,SpikeInAdded,SeqCoastTube,FlaggedasLowQualitySequencing
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,23.9,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_11_2,1/27/24,4.3,P4B9,No,117,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,55.3,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_11_3,1/27/24,10.4,P4B10,No,118,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,63.1,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_12_1,1/27/24,12.3,P4B11,No,119,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,72.4,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_3_1,2/10/24,18.2,P4C1,No,121,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,46.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_3_2,2/10/24,6.2,P4C2,No,122,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,44.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_3_3,2/10/24,5.1,P4C3,No,123,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,82.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_4_1,2/10/24,18.2,P4C4,No,124,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,68.5,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_4_2,2/10/24,12.3,P4C5,No,125,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,50.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_5_1,2/10/24,44,P4C6,No,126,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,87.3,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_5_2,2/10/24,135.5,P4C7,No,127,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,44.4,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_5_3,2/10/24,20.5,P4C8,No,128,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,94.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_6_1,2/10/24,144.4,P4C9,No,129,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,32.1,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_6_2,2/10/24,7.7,P4C10,No,130,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,96.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_9_1,2/10/24,13.3,P4C11,No,131,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,53.2,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_9_2,2/10/24,6.5,P4C12,No,132,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,47.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_9_3,2/10/24,6.4,P4D1,No,133,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,32.1,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_10_1,2/10/24,5,P4D2,No,134,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,54.2,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_10_2,2/10/24,12.3,P4D3,No,135,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,95,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_11_1,2/10/24,109.7,P4D4,No,136,Yes
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,84.8,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_11_2,2/10/24,125.7,P4D5,No,137,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,45.4,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_11_3,2/10/24,32.2,P4D6,No,138,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,85,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_12_1,2/10/24,23.6,P4D7,No,139,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,78.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_13_1,2/10/24,19.5,P4D8,No,140,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,108.2,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_3_1,2/10/24,36.7,P4D9,No,141,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,97.8,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_3_2,2/10/24,47.1,P4D10,No,142,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,117.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_3_3,2/10/24,32.9,P4D11,No,143,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,25.8,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_4_1,2/10/24,5.4,P4D12,No,144,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,60.7,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_4_2,2/10/24,26.1,P4E1,No,145,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,53.6,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_5_1,2/10/24,74.4,P4E2,No,146,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,76.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_5_2,2/10/24,82.3,P4E3,No,147,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,79.8,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_5_3,2/10/24,95.8,P4E4,No,148,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,39.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_6_1,2/10/24,36,P4E5,No,149,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,50.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_6_2,2/10/24,42.9,P4E6,No,150,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,24.1,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_9_1,2/10/24,5.5,P4E7,No,151,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,44.7,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_9_2,2/10/24,17.4,P4E8,No,152,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,42.7,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_9_3,2/10/24,17.9,P4E9,No,153,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,29.1,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_10_1,2/10/24,11.8,P4E10,No,154,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,44,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_10_2,2/10/24,22.1,P4E11,No,155,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,32.3,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_11_1,2/10/24,28.2,P4E12,No,156,No
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,55.5,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_11_2,2/10/24,76.1,P4F1,No,157,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,19.3,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_11_3,2/10/24,3.9,P4F2,No,158,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,54.6,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_12_1,2/10/24,64,P4F3,No,159,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,53.9,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_13_1,2/10/24,81.8,P4F4,No,160,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,35.4,LPS,12/19/23,12/6/23,13,15,LPS_3_1,1/29/24,7.7,P4F5,Yes,161,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,32,LPS,12/19/23,12/6/23,13,15,LPS_3_2,1/29/24,7,P4F6,Yes,162,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,38.5,LPS,12/19/23,12/6/23,13,15,LPS_3_3,1/29/24,7.4,P4F7,Yes,163,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,19,LPS,12/19/23,12/6/23,13,15,LPS_4_1,1/29/24,6.9,P4F8,Yes,164,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,52.6,LPS,12/19/23,12/6/23,13,15,LPS_4_2,1/29/24,4.9,P4F9,Yes,165,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,88.9,LPS,12/19/23,12/6/23,13,15,LPS_5_1,1/29/24,26.2,P4F10,Yes,166,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,38.4,LPS,12/19/23,12/6/23,13,15,LPS_5_2,1/29/24,17.8,P4F11,Yes,167,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,36.5,LPS,12/19/23,12/6/23,13,15,LPS_5_3,1/29/24,33.3,P4F12,Yes,168,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,28.3,LPS,12/19/23,12/6/23,13,15,LPS_6_1,1/29/24,11.9,P4G1,Yes,169,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,17.8,LPS,12/19/23,12/6/23,13,15,LPS_6_2,1/29/24,27.6,P4G2,Yes,170,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,59.7,LPS,12/20/23,12/6/23,14,15.1,LPS_9_1,1/29/24,11.3,P4G3,Yes,171,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,32.2,LPS,12/20/23,12/6/23,14,15.1,LPS_9_2,1/29/24,8.9,P4G4,Yes,172,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,19.5,LPS,12/20/23,12/6/23,14,15.1,LPS_9_3,1/29/24,13.7,P4G5,Yes,173,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,41.9,LPS,12/20/23,12/6/23,14,15.1,LPS_10_1,1/29/24,10.5,P4G6,Yes,174,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,27.3,LPS,12/20/23,12/6/23,14,15.1,LPS_10_2,1/29/24,14.5,P4G7,Yes,175,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,52.3,LPS,12/20/23,12/6/23,14,15.1,LPS_11_1,1/29/24,24.3,P4G8,Yes,176,No
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,32.6,LPS,12/20/23,12/6/23,14,15.1,LPS_11_2,1/29/24,24.4,P4G9,Yes,177,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,43.8,LPS,12/20/23,12/6/23,14,15.1,LPS_11_3,1/29/24,27.9,P4G10,Yes,178,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,15.6,LPS,12/20/23,12/6/23,14,15.1,LPS_12_1,1/29/24,18.5,P4G11,Yes,179,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,27.4,LPS,12/20/23,12/6/23,14,15.1,LPS_13_1,1/29/24,32.3,P4G12,Yes,180,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,288.3,Sacrifice,11/16/23,12/6/23,-20,10.3,SI_LC_2_1,1/29/24,21.3,P4H1,Yes,181,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,267.9,Sacrifice,11/16/23,12/6/23,-20,10.3,SI_LC_8_1,1/29/24,26.2,P4H2,Yes,182,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,228.4,Sacrifice,11/16/23,12/6/23,-20,10.3,Cec_LC_2_1,1/29/24,76.8,P4H3,Yes,183,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,210.4,Sacrifice,11/16/23,12/6/23,-20,10.3,Cec_LC_8_1,1/29/24,54.9,P4H4,Yes,184,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,84.1,Sacrifice,11/16/23,12/6/23,-20,10.3,Pro_LC_2_1,1/29/24,10,P4H5,Yes,185,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,38.4,Sacrifice,11/16/23,12/6/23,-20,10.3,Pro_LC_8_1,1/29/24,10.5,P4H6,Yes,186,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,29.3,Sacrifice,11/16/23,12/6/23,-20,10.3,Dis_LC_2_1,1/29/24,9.2,P4H7,Yes,187,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,61.2,Sacrifice,11/16/23,12/6/23,-20,10.3,Dis_LC_8_1,1/29/24,61.9,P4H8,Yes,188,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,818.5,Sacrifice,11/16/23,12/6/23,-20,10.3,SI_MS_2_1,1/29/24,17.9,P4H9,Yes,189,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,767.9,Sacrifice,11/16/23,12/6/23,-20,10.3,SI_MS_8_1,1/29/24,33.6,P4H10,Yes,190,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,175.1,Sacrifice,11/16/23,12/6/23,-20,10.3,Cec_MS_2_1,1/29/24,24.6,P4H11,Yes,191,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,180.6,Sacrifice,11/16/23,12/6/23,-20,10.3,Cec_MS_8_1,1/29/24,39.5,P4H12,Yes,192,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,103.3,Sacrifice,11/16/23,12/6/23,-20,10.3,Pro_MS_8_1,1/29/24,4.5,P5A2,Yes,194,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,46.6,Sacrifice,11/16/23,12/6/23,-20,10.3,Dis_MS_2_1,1/29/24,6.5,P5A3,Yes,195,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,57.6,Sacrifice,11/16/23,12/6/23,-20,10.3,Dis_MS_8_1,1/29/24,5.7,P5A4,Yes,196,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,282.7,Sacrifice,12/19/23,12/6/23,13,15,SI_LC_4_1,1/30/24,3.4,P5A5,Yes,197,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,112.5,Sacrifice,12/19/23,12/6/23,13,15,SI_LC_6_1,1/30/24,5.3,P5A6,Yes,198,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,693.7,Sacrifice,12/19/23,12/6/23,13,15,Cec_LC_4_1,1/30/24,6.8,P5A7,Yes,199,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,1361.2,Sacrifice,12/19/23,12/6/23,13,15,Cec_LC_6_1,1/30/24,52,P5A8,Yes,200,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,16.3,Sacrifice,12/19/23,12/6/23,13,15,Pro_LC_4_1,1/30/24,4.8,P5A9,Yes,201,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,38.6,Sacrifice,12/19/23,12/6/23,13,15,Pro_LC_6_1,1/30/24,33.8,P5A10,Yes,202,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,73.3,Sacrifice,12/19/23,12/6/23,13,15,Dis_LC_4_1,1/30/24,12.8,P5A11,Yes,203,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,997.8,Sacrifice,12/19/23,12/6/23,13,15,SI_MS_6_1,1/30/24,6.7,P5B2,Yes,206,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,342.7,Sacrifice,12/19/23,12/6/23,13,15,Cec_MS_4_1,1/30/24,3.9,P5B3,Yes,207,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,454.2,Sacrifice,12/19/23,12/6/23,13,15,Cec_MS_6_1,1/30/24,5.5,P5B4,Yes,208,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,110,Sacrifice,12/19/23,12/6/23,13,15,Pro_MS_4_1,1/30/24,6.4,P5B5,Yes,209,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,81.2,Sacrifice,12/19/23,12/6/23,13,15,Pro_MS_6_1,1/30/24,42.5,P5B6,Yes,210,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,80.3,Sacrifice,12/19/23,12/6/23,13,15,Dis_MS_4_1,1/30/24,26.9,P5B7,Yes,211,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,50.5,Sacrifice,12/19/23,12/6/23,13,15,Dis_MS_6_1,1/30/24,79,P5B8,Yes,212,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,83.4,Sacrifice,12/20/23,12/6/23,14,15.1,SI_LC_10_1,1/30/24,5.2,P5B9,Yes,213,No
12,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,49.6,Sacrifice,12/20/23,12/6/23,14,15.1,SI_LC_12_1,1/30/24,5,P5B10,Yes,214,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,1228.8,Sacrifice,12/20/23,12/6/23,14,15.1,Cec_LC_10_1,1/30/24,4.2,P5B11,Yes,215,No
12,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,1875.3,Sacrifice,12/20/23,12/6/23,14,15.1,Cec_LC_12_1,1/30/24,20.9,P5B12,Yes,216,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,16.4,Sacrifice,12/20/23,12/6/23,14,15.1,Pro_LC_10_1,1/30/24,10.6,P5C1,Yes,217,No
12,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,23.9,Sacrifice,12/20/23,12/6/23,14,15.1,Pro_LC_12_1,1/30/24,5.1,P5C2,Yes,218,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,51.6,Sacrifice,12/20/23,12/6/23,14,15.1,Dis_LC_10_1,1/30/24,12.5,P5C3,Yes,219,No
12,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,51,Sacrifice,12/20/23,12/6/23,14,15.1,Dis_LC_12_1,1/30/24,26.4,P5C4,Yes,220,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,886.3,Sacrifice,12/20/23,12/6/23,14,15.1,SI_MS_10_1,1/30/24,3.9,P5C5,Yes,221,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,928.5,Sacrifice,12/20/23,12/6/23,14,15.1,SI_MS_12_1,1/30/24,2.7,P5C6,Yes,222,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,366.3,Sacrifice,12/20/23,12/6/23,14,15.1,Cec_MS_10_1,1/30/24,3.6,P5C7,Yes,223,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,505.2,Sacrifice,12/20/23,12/6/23,14,15.1,Cec_MS_12_1,1/30/24,6.5,P5C8,Yes,224,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,76.7,Sacrifice,12/20/23,12/6/23,14,15.1,Pro_MS_10_1,1/30/24,59,P5C9,Yes,225,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,83.1,Sacrifice,12/20/23,12/6/23,14,15.1,Pro_MS_12_1,1/30/24,34,P5C10,Yes,226,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,54.6,Sacrifice,12/20/23,12/6/23,14,15.1,Dis_MS_10_1,1/30/24,96.1,P5C11,Yes,227,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,41.5,Sacrifice,12/20/23,12/6/23,14,15.1,Dis_MS_12_1,1/30/24,48.5,P5C12,Yes,228,No